name,job_url,hiring_firm,hiring_firm_url,job_function,title,date_posted,Location,Job type,Industry,Salary,details,info
Job Seekers,https://www.jobberman.com.gh,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Job Seekers,https://www.jobberman.com.gh/job-seeker,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Job Seekers,https://www.jobberman.com.gh/job-seeker,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Career,https://www.jobberman.com.gh/discover,Career Development,https://www.jobberman.com.gh/jobs?q=Career%20Development,,Career,,,Full Time,,,[],[]
Employers,https://www.jobberman.com.gh/employer,Skills Assessments,https://www.jobberman.com.gh/jobs?q=Skills%20Assessments,,Employers,,,Full Time,,,[],[]
Help Center,https://help-center.jobberman.com.gh/portal/en/home,Help Center,https://www.jobberman.com.gh/jobs?q=Help%20Center,,Help Center,,,Full Time,,,[],[]
Sign Up,https://www.jobberman.com.gh/account/login,Sign Up,https://www.jobberman.com.gh/jobs?q=Sign%20Up,,Sign Up,,,Full Time,,,[],[]
Sales Manager,https://www.jobberman.com.gh/listings/sales-manager-r89rqq,Sales Manager,https://www.jobberman.com.gh/jobs?q=Sales%20Manager,Job Function: Sales,Sales Manager,,Accra & Tema Region,Full Time,Sales,Confidential,[],[]
Sales Manager,https://www.jobberman.com.gh/listings/sales-manager-r89rqq,Sales Manager,https://www.jobberman.com.gh/jobs?q=Sales%20Manager,,Sales Manager,,,Full Time,,,[],[]
Engineer/ Technician Biomedical,https://www.jobberman.com.gh/listings/engineer-technician-biomedical-wp4pqk,Engineer/ Technician Biomedical,https://www.jobberman.com.gh/jobs?q=Engineer/%20Technician%20Biomedical,Job Function: Engineering & Technology,Engineer/ Technician Biomedical,,Accra & Tema Region,Full Time,Engineering & Technology,Confidential,[],[]
Engineer/ Technician Biomedical,https://www.jobberman.com.gh/listings/engineer-technician-biomedical-wp4pqk,Engineer/ Technician Biomedical,https://www.jobberman.com.gh/jobs?q=Engineer/%20Technician%20Biomedical,,Engineer/ Technician Biomedical,,,Full Time,,,[],[]
Regional Manager,https://www.jobberman.com.gh/listings/regional-manager-9j7j45,Sanford Health-Ghana,https://www.jobberman.com.gh/jobs?q=Sanford%20Health-Ghana,Job Function: Management & Business Development,Regional Manager,,Accra & Tema Region,Full Time,Management & Business Development,Confidential,[],[]
Regional Manager,https://www.jobberman.com.gh/listings/regional-manager-9j7j45,,,,Regional Manager,,,Full Time,,,[],[]
Sales Advisor,https://www.jobberman.com.gh/listings/financial-sales-advisor-r898g4,Sales Advisor,https://www.jobberman.com.gh/jobs?q=Sales%20Advisor,Job Function: Sales,Sales Advisor,,Accra & Tema Region,Full Time,Sales,Confidential,[],[]
Sales Advisor,https://www.jobberman.com.gh/listings/financial-sales-advisor-r898g4,Sales Advisor,https://www.jobberman.com.gh/jobs?q=Sales%20Advisor,,Sales Advisor,,,Full Time,,,[],[]
School Principal (Academic Lead),https://www.jobberman.com.gh/listings/school-principal-gwxwnr,School Principal (Academic Lead),https://www.jobberman.com.gh/jobs?q=School%20Principal%20(Academic%20Lead),"Job Function: Research, Teaching & Training",School Principal (Academic Lead),,Accra & Tema Region,Full Time,"Research, Teaching & Training","GHS 3,000 - 3,600",[],[]
School Principal (Academic Lead),https://www.jobberman.com.gh/listings/school-principal-gwxwnr,School Principal (Academic Lead),https://www.jobberman.com.gh/jobs?q=School%20Principal%20(Academic%20Lead),,School Principal (Academic Lead),,School Principal (Academic Lead),Full Time,,,[],[]
Graduate Trainees,https://www.jobberman.com.gh/listings/graduate-trainees-ev4v6d,Graduate Trainees,https://www.jobberman.com.gh/jobs?q=Graduate%20Trainees,Job Function: Admin & Office,Graduate Trainees,,Accra & Tema Region,Full Time,Admin & Office,Confidential,[],[]
Graduate Trainees,https://www.jobberman.com.gh/listings/graduate-trainees-ev4v6d,Graduate Trainees,https://www.jobberman.com.gh/jobs?q=Graduate%20Trainees,,Graduate Trainees,,,Full Time,,,[],[]
